ΣΤΟΧΟΣ 1.5.3 ΒΕΛΤΙΩΣΗ ΥΠΟΔΟΜΩΝ ΚΑΙ ΔΙΚΤΥΩΝ;;;;;;;;;;;;;;;
1.5.3.3 Μελέτες - έρευνες - απόκτηση γης;;;;;;;;;;;;;;;
1;1533ΘΕΣ001ΑΝΤ15;;2015;Σ;Πειραματική εκτροφή και διαχείριση χαβάρων του Θερμαϊκού Κόλπου;30,000.00;30,000.00;9,000.00;21,000.00;21,000.00;0.00;0.00;0.00;Γρ. Αντιπεριφερειάρχη Αγροτικής Ανάπτυξης;Προγραμματική σύμβαση με ΑΠΘ- Υλοποιείται
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 1.5.3.3;;;;;;30,000.00;30,000.00;9,000.00;21,000.00;21,000.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΑΞΟΝΑΣ 2 - ΟΙΚΟΝΟΜΙΚΗ ΑΝΑΠΤΥΞΗ ΚΑΙ ΑΠΑΣΧΟΛΗΣΗ;;;;;;;;;;;;;;;
ΜΕΤΡΟ 2.1 ΥΠΟΔΟΜΕΣ - ΒΕΛΤΙΩΣΗ ΔΙΚΤΥΩΝ (ΟΔΙΚΑ ΕΡΓΑ - ΛΙΜΕΝΙΚΑ - ΑΕΡΟΛΙΜΕΝΕΣ, ΚΛΠ);;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 2.1.3 ΒΕΛΤΙΩΣΗ ΥΠΟΔΟΜΩΝ ΚΑΙ ΔΙΚΤΥΩΝ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 2.1.3.1 ΒΕΛΤΙΩΣΗ - ΣΥΝΤΗΡΗΣΗ ΟΔΙΚΟΥ ΔΙΚΤΥΟΥ, ΗΛΕΚΤΡΟΦΩΤΙΣΜΟΥ, ΚΤΛ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 2.1.3.1;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΔΡΑΣΗ 2.1.3.5 ΜΕΛΕΤΕΣ - ΕΡΕΥΝΕΣ - ΑΠΟΚΤΗΣΗ ΓΗΣ;;;;;;;;;;;;;;;
1;2135ΘΕΣ001ΑΝΤ15;;2015;Σ;Διερεύνηση επιπέδου ρύπανσης αρδευτικών δικτύων και τάφρων της πεδιάδος Θεσσαλονίκης και εκτίμηση επιπτώσεων στο θαλάσσιο περιβάλλον και τις μυδοκαλλιέργειες;60,000.00;60,000.00;0.00;60,000.00;20,000.00;40,000.00;0.00;0.00;Διεύθυνση Περιβάλλοντος, Βιομηχανίας, Ενέργειας και Φυσικών Πόρων (ΠΚΜ);Προγραμματική Σύμβαση με ΑΠΘ
;;;;;;;;;;;;;;;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 2.1.3.5;;;;;;60,000.00;60,000.00;0.00;60,000.00;20,000.00;40,000.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΜΕΤΡΟ 2.2 ΕΠΙΧΕΙΡΗΜΑΤΙΚΟΤΗΤΑ - ΑΝΑΒΑΘΜΙΣΗ ΤΩΝ ΔΕΞΙΟΤΗΤΩΝ ΤΟΥ ΑΝΘΡΩΠΙΝΟΥ ΔΥΝΑΜΙΚΟΥ;;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 2.2.4 ΑΞΙΟΠΟΙΗΣΗ ΠΑΡΑΓΩΓΙΚΟΥ ΔΥΝΑΜΙΚΟΥ ΜΕ ΕΝΕΡΓΗΤΙΚΕΣ ΠΟΛΙΤΙΚΕΣ ΣΤΗΡΙΞΗΣ ΤΗΣ ΑΠΑΣΧΟΛΗΣΗΣ - ΑΞΙΟΠΟΙΗΣΗ ΤΑΥΤΟΤΗΤΑΣ ΠΕΡΙΟΧΗΣ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 2.2.4.3 ΠΛΗΡΟΦΟΡΗΣΗ - ΕΛΕΓΧΟΣ ΑΓΟΡΑΣ;;;;;;;;;;;;;;;
1;2243ΘΕΣ001ΑΝΤ13;;2013;Σ;"Συμμετοχή στην υλοποίηση του έργου ""Ίσες ευκαιρίες εργασιακής ένταξης των χρόνια πασχόντων της Θεσσαλονίκης""";25,600.00;25,600.00;14,701.09;10,898.91;10,898.91;0.00;0.00;0.00;Διεύθυνση Εμπορίου και Απασχόλησης (ΠΚΜ);"Δράση 100% χρηματοδοτούμενη από το ΕΠ ""Ανάπτυξη Ανθρώπινου Δυναμικού"""
;;;;;;;;;;;;;;;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 2.2.4.3;;;;;;25,600.00;25,600.00;14,701.09;10,898.91;10,898.91;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΜΕΤΡΟ 2.3 ΤΟΥΡΙΣΜΟΣ (ΥΠΟΔΟΜΕΣ ΚΑΙ ΕΝΕΡΓΕΙΕΣ ΠΡΟΒΟΛΗΣ);;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 2.3.5 ΕΝΙΣΧΥΣΗ ΤΩΝ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΔΟΜΩΝ ΚΑΙ ΤΩΝ ΥΠΟΔΟΜΩΝ ΥΓΕΙΑΣ, ΤΟΥΡΙΣΜΟΥ, ΠΟΛΙΤΙΣΜΟΥ, ΑΘΛΗΤΙΚΟΥ ΚΑΙ ΠΑΙΔΕΙΑΣ - ΑΞΙΟΠΟΙΗΣΗ ΤΑΥΤΟΤΗΤΑΣ ΠΕΡΙΟΧΩΝ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 2.3.5.1 ΥΠΟΔΟΜΕΣ ΤΟΥΡΙΣΜΟΥ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 2.3.5.1;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΔΡΑΣΗ 2.3.5.2 ΕΝΕΡΓΕΙΕΣ ΤΟΥΡΙΣΤΙΚΗΣ ΠΡΟΒΟΛΗΣ;;;;;;;;;;;;;;;
1;2352ΘΕΣ001ΑΝΤ15;;2015;Σ;Δαπάνη φιλοξενίας γερμανών δημοσιογράφων στην ΠΚΜ;44,193.90;44,193.90;0.00;44,193.90;44,193.90;0.00;0.00;0.00;Δ/νση Οικονομικού;αποπληρωμή οφειλής
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 2.3.5.2;;;;;;44,193.90;44,193.90;0.00;44,193.90;44,193.90;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΜΕΤΡΟ 2.4 ΑΓΡΟΤΙΚΗ ΑΝΑΠΤΥΞΗ (ΓΕΩΡΓΙΑ-ΚΤΗΝΟΤΡΟΦΙΑ-ΑΛΙΕΙΑ-ΥΔΑΤΟΚΑΛΛΙΕΡΓΕΙΑ-ΥΠΟΔΟΜΕΣ ΕΞΥΠΗΡΕΤΗΣΗΣ ΕΛΕΓΧΟΥ ΚΑΙ ΔΙΑΚΙΝΗΣΗΣ ΠΡΟΪΟΝΤΩΝ - ΔΟΜΕΣ ΠΟΙΟΤΙΚΟΥ ΕΛΕΓΧΟΥ ΑΓΟΡΑΣ);;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 2.4.1 ΕΝΙΣΧΥΣΗ - ΒΕΛΤΙΩΣΗ ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ, ΥΠΟΔΟΜΩΝ ΚΑΙ ΔΙΚΤΥΩΝ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 2.4.1.1 ΓΕΩΡΓΙΚΗ ΑΝΑΠΤΥΞΗ;;;;;;;;;;;;;;;
1;2411ΘΕΣ001ΑΝΤ15;;2015;Σ;Αγροτικός εξηλεκτρισμός;115,000.00;115,000.00;63,787.77;51,212.23;51,212.23;0.00;0.00;0.00;Διεύθυνση Αγροτικής Οικονομίας και Αλιείας ΜΕΘ;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 2.4.1.1;;;;;;115,000.00;115,000.00;63,787.77;51,212.23;51,212.23;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΔΡΑΣΗ 2.4.1.2 ΚΤΗΝΟΤΡΟΦΙΑ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 2.4.1.2;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΑΞΟΝΑΣ 3 - ΕΝΙΣΧΥΣΗ ΚΟΙΝΩΝΙΚΗΣ ΜΕΡΙΜΝΑΣ - ΥΓΕΙΑΣ - ΠΑΙΔΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ - ΑΘΛΗΤΙΣΜΟΥ;;;;;;;;;;;;;;;
ΜΕΤΡΟ 3.1 ΥΓΕΙΑ - ΚΟΙΝΩΝΙΚΗ ΜΕΡΙΜΝΑ;;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 3.1.5 ΕΝΙΣΧΥΣΗ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΔΟΜΩΝ ΚΑΙ ΥΠΟΔΟΜΩΝ ΥΓΕΙΑΣ , ΤΟΥΡΙΣΜΟΥ, ΠΟΛΙΤΙΣΜΟΥ, ΑΘΛΗΤΙΣΜΟΥ ΚΑΙ ΠΑΙΔΕΙΑΣ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 3.1.5.2 ΚΟΙΝΩΝΙΚΕΣ ΥΠΟΔΟΜΕΣ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 3.1.5.2;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΔΡΑΣΗ 3.1.5.5 ΔΙΑΣΦΑΛΙΣΗ ΔΗΜΟΣΙΑΣ ΥΓΕΙΑΣ;;;;;;;;;;;;;;;
1;3155ΘΕΣ001ΑΝΤ16;;2016;Σ;Υγειονομική και μικροβιολογική εξέταση του πόσιμου νερού - αναλύσεις θαλασσινών νερών ακτών κολύμβησης έτους 2016;20,000.00;20,000.00;16,000.00;4,000.00;4,000.00;0.00;0.00;0.00;Διεύθυνση Δημόσιας Υγείας και Κοινωνικής Μέριμνας ΜΕΘ;
2;3155ΘΕΣ003ΑΝΤ16;;2016;Σ;Υγειονομική και μικροβιολογική εξέταση του πόσιμου νερού - αναλύσεις θαλασσινών νερών ακτών κολύμβησης έτους 2017;20,000.00;20,000.00;0.00;20,000.00;20,000.00;0.00;0.00;0.00;Διεύθυνση Δημόσιας Υγείας και Κοινωνικής Μέριμνας ΜΕΘ;
3;3155ΘΕΣ002ΑΝΤ15;;2015;Σ;Ανάπτυξη συνεργείων για υπερωριακή απασχόληση εποπτών Δημόσιας Υγείας Π.Ε. Θεσ/νίκης σε 20ωρη απασχόληση;28,800.00;28,800.00;0.00;28,800.00;15,000.00;13,800.00;0.00;0.00;Διεύθυνση Δημόσιας Υγείας και Κοινωνικής Μέριμνας ΜΕΘ;
4;3155ΘΕΣ003ΑΝΤ15;;2015;Σ;Έλεγχος αποτελεσματικότητας του προγράμματος καταπολέμησης κουνουπιών στην Π.Κ.Μ.;95,600.00;95,600.00;0.00;95,600.00;5,600.00;90,000.00;0.00;0.00;Διεύθυνση Δημόσιας Υγείας και Κοινωνικής Μέριμνας (ΠΚΜ);Προγραμματική Σύμβαση μεταξύ Π.Κ.Μ. και Α.Π.Θ.
5;3155ΘΕΣ010ΑΝΤ13;;2013;Σ;Επιτήρηση και σημειακός έλεγχος ρύπανσης από υφιστάμενες δραστηριότητες στη Μ.Ε.Θ. και έλεγχος για την ύπαρξη οργανοαλογονομένων ουσιών και πολυκυκλικών αρωματικών υδρογονανθράκων (ΡΑΗ) σε ζώντα δίθυρα μαλάκια ;55,000.00;55,000.00;0.00;55,000.00;30,000.00;25,000.00;0.00;0.00;Γενική Διεύθυνση Προγραμματισμού και Υποδομών;Έγινε διαγωνισμός
6;3155ΘΕΣ011ΑΝΤ13;;2013;Σ;"Παρακολούθηση των επιπέδων φυσικών και τεχνητών ραδιονουκλιδίων σε δείγματα δίθυρων μαλακίων (μύδια: Mytilus galloprovincialis, κυδώνια: Venus verrucosa και χάβαρα: Modiolus barbatus) που προέρχονται από τον Κόλπο της Θεσσαλονίκης και τον Θερμαϊκό Κόλπο στα διοικητικά όρια του Ν. Θεσσαλονίκης (από ΕΚΕΦΕ ""ΔΗΜΟΚΡΙΤΟΣ"")";9,057.92;9,057.92;0.00;9,057.92;9,057.92;0.00;0.00;0.00;Διεύθυνση Κτηνιατρικής ;οφειλή 
7;3155ΘΕΣ004ΑΝΤ15;;2015;Σ;Επιτήρηση και δημόσιος έλεγχος παραγωγής οστρακοειδών - μίσθωση σκάφους έτους 2016-2017;109,000.01;109,000.01;0.00;109,000.01;81,750.00;27,250.01;0.00;0.00;Διεύθυνση Κτηνιατρικής ;Υλοποιείται 
8;3155ΘΕΣ005ΑΝΤ15;;2015;Σ;Επιτήρηση και δημόσιος έλεγχος των ζωνών παραγωγής των οστρακοειδών στο Θερμαϊκό Κόλπο στα όρια του Ν. Θεσ/νίκης (προσδιορισμός του φυτοπλαγκτού) έτους 2016- 2017;90,000.00;90,000.00;0.00;90,000.00;40,000.00;50,000.00;0.00;0.00;Διεύθυνση Αγροτικής Οικονομίας και Αλιείας ΜΕ Θεσσαλονίκης;προγραμματική σύμβαση με Α.Π.Θ.
9;3155ΘΕΣ002ΑΝΤ16;;2016;Σ;Παρακολούθηση των επιπέδων διοξινών και Πολυχλωριωμένων Διφαινυλίων (PCB's) σε δείγματα ζώντων μαλακίων που προέρχονται από την Περιφέρεια Κεντρικής Μακεδονίας ;27,000.00;27,000.00;0.00;27,000.00;18,000.00;9,000.00;0.00;0.00;Διεύθυνση Κτηνιατρικής;Υλοποιείται 
10;3155ΘΕΣ001ΑΝΤ17;;2017;Ν;Επιτήρηση και δημόσιος έλεγχος παραγωγής οστρακοειδών - μίσθωση σκάφους έτους 2018-2019;0.00;230,000.00;0.00;230,000.00;1,000.00;114,000.00;115,000.00;0.00;Διεύθυνση Κτηνιατρικής ;
11;3155ΘΕΣ002ΑΝΤ17;;2017;Ν;Επιτήρηση και δημόσιος έλεγχος των ζωνών παραγωγής των οστρακοειδών στο Θερμαϊκό Κόλπο στα όρια του Ν. Θεσ/νίκης (προσδιορισμός του φυτοπλαγκτού) έτους 2018- 2019;0.00;127,000.00;0.00;127,000.00;1,000.00;63,000.00;63,000.00;0.00;Διεύθυνση Αγροτικής Οικονομίας και Αλιείας ΜΕ Θεσσαλονίκης;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 3.1.5.5;;;;;;454,457.93;811,457.93;16,000.00;795,457.93;225,407.92;392,050.01;178,000.00;0.00;;
;;;;;;;;;;;;;;;
ΜΕΤΡΟ 3.2 ΑΘΛΗΤΙΣΜΟΣ - ΠΟΛΙΤΙΣΜΟΣ - ΝΕΟΛΑΙΑ;;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 3.2.5 ΕΝΙΣΧΥΣΗ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΔΟΜΩΝ ΚΑΙ ΥΠΟΔΟΜΩΝ ΥΓΕΙΑΣ , ΤΟΥΡΙΣΜΟΥ, ΠΟΛΙΤΙΣΜΟΥ, ΑΘΛΗΤΙΣΜΟΥ ΚΑΙ ΠΑΙΔΕΙΑΣ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 3.2.5.1 ΥΠΟΔΟΜΕΣ ΑΘΛΗΤΙΣΜΟΥ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 3.2.5.1;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΔΡΑΣΗ 3.2.5.4 ΔΡΑΣΕΙΣ ΠΟΛΙΤΙΣΜΟΥ;;;;;;;;;;;;;;;
1;3254ΘΕΣ001ΑΝΤ15;;2015;Σ;Συνδιοργάνωση πολιτιστικών και αθλητικών εκδηλώσεων της Π.Ε.Θ.;34,521.00;34,521.00;30,521.00;4,000.00;4,000.00;0.00;0.00;0.00;Γρ. Αντιπεριφερειάρχη ΜΕΘ;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 3.2.5.4;;;;;;34,521.00;34,521.00;30,521.00;4,000.00;4,000.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΜΕΤΡΟ 3.3 ΠΑΙΔΕΙΑ - ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗ;;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 3.3.5 ΕΝΙΣΧΥΣΗ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΔΟΜΩΝ ΚΑΙ ΥΠΟΔΟΜΩΝ ΥΓΕΙΑΣ , ΤΟΥΡΙΣΜΟΥ, ΠΟΛΙΤΙΣΜΟΥ, ΑΘΛΗΤΙΣΜΟΥ ΚΑΙ ΠΑΙΔΕΙΑΣ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 3.3.5.1 ΥΠΟΔΟΜΕΣ ΕΚΠΑΙΔΕΥΣΗΣ;;;;;;;;;;;;;;;
1;3351ΘΕΣ001ΑΝΤ15;;2015;Σ;Εφαρμογή σχεδιασμού και κοστολόγησης μεταφοράς μαθητών Α/θμιας και Β/θμιας Εκπαίδευσης;78,000.00;78,000.00;0.00;78,000.00;5,000.00;73,000.00;0.00;0.00;Δ/νση Ανάπτυξης ;προγραμματική σύμβαση με πανεπιστήμιο
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 3.3.5.1;;;;;;78,000.00;78,000.00;0.00;78,000.00;5,000.00;73,000.00;0.00;0.00;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ΑΞΟΝΑΣ 4 - ΑΝΑΠΤΥΞΗ ΠΕΡΙΦΕΡΕΙΑΣ ΚΑΙ ΝΟΜΙΚΩΝ ΠΡΟΣΩΠΩΝ ΩΣ ΟΡΓΑΝΙΣΜΩΝ;;;;;;;;;;;;;;;
ΜΕΤΡΟ 4.2 ΥΠΟΔΟΜΕΣ ΔΙΟΙΚΗΣΗΣ - ΕΞΟΠΛΙΣΜΟΣ (ΠΛΗΡΟΦΟΡΙΑΚΑ ΣΥΣΤΗΜΑΤΑ ΚΑΙ ΣΥΣΤΗΜΑΤΑ ΒΕΛΤΙΩΣΗΣ ΤΗΣ ΔΙΟΙΚΗΤΙΚΗΣ ΙΚΑΝΟΤΗΤΑΣ ΤΗΣ ΠΕΡΙΦΕΡΕΙΑΣ);;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 4.2.7 ΒΕΛΤΙΩΣΗ ΥΛΙΚΟΤΕΧΝΙΚΗΣ ΚΑΙ ΚΤΙΡΙΑΚΗΣ ΥΠΟΔΟΜΗΣ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 4.2.7.1 ΥΠΟΔΟΜΕΣ ΔΙΟΙΚΗΣΗΣ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 4.2.7.1;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 4.2.8 ΑΞΙΟΠΟΙΗΣΗ ΤΩΝ ΤΕΧΝΟΛΟΓΙΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ & ΕΠΙΚΟΙΝΩΝΙΑΣ ΚΑΙ ΕΦΑΡΜΟΓΗ ΔΙΑΔΙΚΑΣΙΩΝ ΗΛΕΚΤΡΟΝΙΚΗΣ ΔΙΑΚΥΒΕΡΝΗΣΗΣ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 4.2.8.1 ΕΞΟΠΛΙΣΜΟΣ (ΠΛΗΡΟΦΟΡΙΑΚΑ ΣΥΣΤΗΜΑΤΑ ΒΕΛΤΙΩΣΗΣ ΔΙΟΙΚΗΤΙΚΗΣ ΙΚΑΝΟΤΗΤΑΣ);;;;;;;;;;;;;;;
1;4281ΘΕΣ002ΑΝΤ12;;2012;Σ;Δημιουργία πιλοτικού Διαδικτυακού Ενημερωτικού Ιστοχώρου της Δ/νσης Μεταφορών Ανατολικής Θεσ/νίκης σε συνδυασμό με την ανάπτυξη συστήματος on line διαχείρισης του προγραμματισμού θεωρητικής και πρακτικής εξέτασης Υποψηφίων Οδηγών;36,285.00;36,285.00;0.00;36,285.00;36,285.00;0.00;0.00;0.00;Διεύθυνση Μεταφορών και Επικοινωνιών Ανατολικής Θεσσαλονίκης ;υλοποιείται
2;4281ΘΕΣ002ΑΝΤ14;;2014;Σ;Προμήθεια ηλεκτρονικού εξοπλισμού (ηλεκτρονικοί υπολογιστές, εκτυπωτές, κλπ) των υπηρεσιών της Μ.Ε.Θ.;65,000.00;65,000.00;0.00;65,000.00;65,000.00;0.00;0.00;0.00;Διεύθυνση Διαφάνειας & Ηλεκτρονικής Διακυβέρνησης ;υλοποιείται
3;4281ΘΕΣ001ΑΝΤ15;;2015;Σ;Προμήθεια ηλεκτρονικών οργάνων Παγκόσμιου Συστήματος Προσδιορισμού Θέσης (GPS);8,000.00;8,000.00;1,574.80;6,425.20;6,425.20;0.00;0.00;0.00;Διεύθυνση Αγροτικής Οικονομίας και Αλιείας ΜΕΘ;υλοποιείται
4;4281ΘΕΣ002ΑΝΤ15;;2015;Σ;Συνδρομή για ένταξη σε σύστημα GPSGNSS  για μετρήσεις ακρίβειας υδατοκαλλιεργειών ;1,500.00;1,500.00;392.68;1,107.32;1,107.32;0.00;0.00;0.00;Διεύθυνση Αγροτικής Οικονομίας και Αλιείας ΜΕΘ;υλοποιείται
5;4281ΘΕΣ001ΑΝΤ16;;2016;Σ;Προμήθεια ειδών για την υποστήριξη του έργου πολιτικής προστασίας;40,000.00;40,000.00;0.00;40,000.00;40,000.00;0.00;0.00;0.00;Αυτοτελής Διεύθυνση Πολιτικής Προστασίας;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 4.2.8.1;;;;;;150,785.00;150,785.00;1,967.48;148,817.52;148,817.52;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΜΕΤΡΟ 4.4 ΟΙΚΟΝΟΜΙΚΑ ΤΗΣ ΠΕΡΙΦΕΡΕΙΑΣ;;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 4.4.9 ΕΛΕΓΧΟΣ ΤΩΝ ΛΕΙΤΟΥΡΓΙΚΩΝ ΔΑΠΑΝΩΝ ΚΑΙ ΜΕΙΩΣΗ ΤΩΝ ΕΞΟΔΩΝ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 4.4.9.1 ΔΡΑΣΕΙΣ ΟΡΘΟΛΟΓΙΚΗΣ ΔΙΑΧΕΙΡΙΣΗΣ ΔΑΠΑΝΩΝ ΚΑΙ ΜΕΙΩΣΗΣ ΕΞΟΔΩΝ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 4.4.9.1;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 4.4.10 ΑΥΞΗΣΗ ΤΩΝ ΕΣΟΔΩΝ ΚΑΙ ΑΞΙΟΠΟΙΗΣΗ ΕΘΝΙΚΩΝ ΚΑΙ ΕΥΡΩΠΑΪΚΩΝ ΠΗΓΩΝ ΧΡΗΜΑΤΟΔΟΤΗΣΗΣ;;;;;;;;;;;;;;;
